"level","scalepay"
"Assistant",68100
"Assistant",72200
"Assistant",76100
"Assistant",80500
"Assistant",84800
"Assistant",89200
"Assistant",95200
"Assistant",99900
"Assistant",105200
"Assistant",109900
"Associate",84900
"Associate",89300
"Associate",93800
"Associate",99400
"Associate",107100
"Associate",110000
"Associate",114100
"Associate",118500
"Associate",122900
"Full",99500
"Full",107200
"Full",115500
"Full",124000
"Full",133200
"Full",143400
"Full",154600
"Full",167100
"Full",181100
"Full",123000
"Full",128000
"Full",134200
"Full",141400
"Full",149500
"Full",160200
"Full",171600
"Full",183800
"Full",198400
